Country,expenditure,Continent
Afghanistan,10.2,Asia
Albania,6.7,Europe
Algeria,6.6,Africa
Andorra,10.4,Europe
Angola,2.9,Africa
Antigua and Barbuda,4.3,North America
Argentina,7.5,South America
Armenia,9.9,Europe
Australia,9.3,Oceania
Austria,10.4,Europe
Azerbaijan,6.9,Europe
Bahamas,6.4,North America
Bahrain,4.9,Asia
Bangladesh,2.4,Asia
Barbados,7,North America
Belarus,6.3,Europe
Belgium,10,Europe
Belize,6.1,North America
Benin,3.9,Africa
Bhutan,3.5,Asia
Bolivia,6.9,South America
Bosnia and Herzegovina,9.2,Europe
Botswana,5.5,Africa
Brazil,11.8,South America
Brunei,2.3,Asia
Bulgaria,8.2,Europe
Burkina Faso,6.8,Africa
Burundi,6.2,Africa
Cabo Verde,5.2,Africa
Cambodia,6.1,Asia
Cameroon,4.7,Africa
Canada,10.5,North America
Central African Republic,4.3,Africa
Chad,4.5,Africa
Chile,8.5,South America
China,5,Asia
Colombia,5.9,South America
Comoros,7.6,Africa
Congo,3.9,Africa
Costa Rica,7.6,North America
Croatia,7.2,Europe
Cuba,12.2,North America
Cyprus,6.9,Europe
Czechia,7.1,Europe
Denmark,10.4,Europe
Djibouti,3.5,Africa
Dominica,5.3,North America
Dominican Republic,6.2,North America
Ecuador,8.4,South America
Egypt,4.6,Africa
El Salvador,7,North America
Equatorial Guinea,3.4,Africa
Eritrea,3,Africa
Estonia,6.7,Europe
Eswatini,7.7,Africa
Ethiopia,4,Africa
Fiji,3.5,Oceania
Finland,9.5,Europe
France,11.5,Europe
Gabon,3.1,Africa
Gambia,4.4,Africa
Georgia,8.4,Europe
Germany,11.1,Europe
Ghana,4.4,Africa
Greece,8.5,Europe
Grenada,5.2,North America
Guatemala,5.8,North America
Guinea,5.5,Africa
Guinea-Bissau,6.1,Africa
Guyana,4.2,South America
Haiti,5.4,North America
Honduras,8.4,North America
Hungary,7.4,Europe
Iceland,8.3,Europe
India,3.7,Asia
Indonesia,3.1,Asia
Iran,8.1,Asia
Iraq,3.3,Asia
Ireland,7.4,Europe
Israel,7.3,Asia
Italy,8.9,Europe
Jamaica,6.1,North America
Japan,10.9,Asia
Jordan,5.5,Asia
Kazakhstan,3.5,Asia
Kenya,4.5,Africa
"Korea, South",7.3,Asia
Kuwait,3.9,Asia
Kyrgyzstan,6.6,Asia
Laos,2.4,Asia
Latvia,6.2,Europe
Lebanon,8,Asia
Lesotho,8.1,Africa
Liberia,9.6,Africa
Lithuania,6.7,Europe
Luxembourg,6.2,Europe
Madagascar,6,Africa
Malawi,9.8,Africa
Malaysia,3.8,Asia
Maldives,10.6,Asia
Mali,3.8,Africa
Malta,9.3,Europe
Mauritania,4.2,Africa
Mauritius,5.7,Africa
Mexico,5.5,North America
Moldova,9,Europe
Monaco,1.7,Europe
Mongolia,3.8,Asia
Montenegro,7.6,Europe
Morocco,5.8,Africa
Mozambique,5.1,Africa
Namibia,9.1,Africa
Nepal,6.3,Asia
Netherlands,10.4,Europe
New Zealand,9.2,Oceania
Nicaragua,8.7,North America
Niger,6.2,Africa
Nigeria,3.6,Africa
North Macedonia,6.3,Europe
Norway,10.5,Europe
Oman,4.3,Asia
Pakistan,2.8,Asia
Panama,7.3,North America
Papua New Guinea,2,Oceania
Paraguay,8,South America
Peru,5.1,South America
Philippines,4.4,Asia
Poland,6.5,Europe
Portugal,9.1,Europe
Qatar,3.1,Asia
Romania,5,Europe
Russia,5.3,Europe
Rwanda,6.8,Africa
Saint Kitts and Nevis,5.5,North America
Saint Lucia,5.3,North America
Saint Vincent and the Grenadines,3.6,North America
San Marino,6.4,Europe
Sao Tome and Principe,6,Africa
Saudi Arabia,5.7,Asia
Senegal,5.5,Africa
Serbia,9.1,Europe
Seychelles,3.9,Africa
Sierra Leone,16.5,Africa
Singapore,4.5,Asia
Slovakia,7.1,Europe
Slovenia,8.5,Europe
South Africa,8.1,Africa
Spain,9,Europe
Sri Lanka,3.9,Asia
Sudan,5.7,Africa
Suriname,6.1,South America
Sweden,10.9,Europe
Switzerland,12.2,Europe
Taiwan,7,Asia
Tanzania,4.1,Africa
Thailand,3.7,Asia
Togo,6.6,Africa
Trinidad and Tobago,6.5,North America
Tunisia,7,Africa
Turkey,4.3,Asia
Uganda,6.2,Africa
Ukraine,6.7,Europe
United Arab Emirates,3.5,Asia
United Kingdom,9.8,Europe
Uruguay,9.1,South America
United States,17.1,North America
Uzbekistan,6.3,Asia
Venezuela,3.2,South America
Vietnam,5.7,Asia
Zambia,4.5,Africa
Zimbabwe,9.4,Africa